"","datetime","temperature","S","I","speed","N"
"1",2019-10-01,282.911926357898,35.1644681676408,0,-0.285617169630449,1.53005133643816e-06
"2",2019-10-01 01:00:00,282.314711949251,35.1642908901877,0,-0.222314809134752,1.53005133643816e-06
"3",2019-10-01 02:00:00,282.159276133808,35.1642908901877,0,-0.164457808022376,1.53005133643816e-06
"4",2019-10-01 03:00:00,282.408600276074,35.1671136127346,0,0.167619940570433,1.53005133643816e-06
"5",2019-10-01 04:00:00,283.080069343595,35.1711136127346,0,0.2054679430071,1.53005133643816e-06
"6",2019-10-01 05:00:00,283.711698092751,35.1676454450938,0,0.218671364063586,1.53005133643816e-06
"7",2019-10-01 06:00:00,284.077075162268,35.1625886387265,0.0459267316663349,0.195601097429273,1.53005133643816e-06
"8",2019-10-01 07:00:00,284.207698092751,35.1593545549062,0.0988216571027344,0.141574952683946,1.53005133643816e-06
"9",2019-10-01 08:00:00,284.058952751625,35.1583545549062,0.143164708366782,0.0621483495643912,1.53005133643816e-06
"10",2019-10-01 09:00:00,283.601555107054,35.1587659161796,0.175577367266931,-0.0563285641153435,1.53005133643816e-06
"11",2019-10-01 10:00:00,283.145021335137,35.1601772774531,0.194053638626951,-0.1253636353201,1.53005133643816e-06
"12",2019-10-01 11:00:00,283.085489502777,35.162,0.197220999431526,-0.157597989776384,1.53005133643816e-06
"13",2019-10-01 12:00:00,283.279973326678,35.1648227225469,0.185079449680655,-0.154793070186111,1.53005133643816e-06
"14",2019-10-01 13:00:00,283.063857774386,35.1676454450938,0.158156882841769,-0.135904774984408,1.53005133643816e-06
"15",2019-10-01 14:00:00,282.484438654881,35.1668795289142,0.11867045147807,-0.124426594006958,1.53005133643816e-06
"16",2019-10-01 15:00:00,282.099012677025,35.1644681676408,0.0689428868462453,0.14036296336198,1.53005133643816e-06
"17",2019-10-01 16:00:00,281.994279113043,35.1636454450938,0.0124582858313276,0.164906903027523,1.53005133643816e-06
"18",2019-10-01 17:00:00,282.014669899263,35.1646454450938,0,0.165237551650958,1.53005133643816e-06
"19",2019-10-01 18:00:00,282.154212469089,35.1656454450938,0,0.139628456948818,1.53005133643816e-06
"20",2019-10-01 19:00:00,282.500565984318,35.1674681676408,0,0.0872717287554063,1.53005133643816e-06
"21",2019-10-01 20:00:00,282.930201591825,35.1700568063673,0,-0.0480655205771455,1.53005133643816e-06
"22",2019-10-01 21:00:00,282.961790230552,35.1710568063673,0,-0.121742498090095,1.53005133643816e-06
"23",2019-10-01 22:00:00,282.623270175337,35.1700568063673,0,-0.219797009627415,1.53005133643816e-06
"24",2019-10-01 23:00:00,282.386154623044,35.1690568063673,0,-0.292197817130117,1.53005133643816e-06
"25",2019-10-02,282.377338758849,35.1729363352815,0,-0.320530446181752,1.53005133643816e-06
