"","datetime","temperature","S","I","speed","N"
"1",2019-10-01,282.911926357898,35.1644681676408,0,-0.285617169630449,1.57060612379889e-06
"2",2019-10-01 01:00:00,282.314711949251,35.1642908901877,0,-0.222314809134752,1.57060612379889e-06
"3",2019-10-01 02:00:00,282.159276133808,35.1642908901877,0,-0.164457808022376,1.57060612379889e-06
"4",2019-10-01 03:00:00,282.408600276074,35.1671136127346,0,0.167619940570433,1.57060612379889e-06
"5",2019-10-01 04:00:00,283.080069343595,35.1711136127346,0,0.2054679430071,1.57060612379889e-06
"6",2019-10-01 05:00:00,283.711698092751,35.1676454450938,0,0.218671364063586,1.57060612379889e-06
"7",2019-10-01 06:00:00,284.077075162268,35.1625886387265,0.0223549402474568,0.195601097429273,1.57060612379889e-06
"8",2019-10-01 07:00:00,284.207698092751,35.1593545549062,0.0481016645324587,0.141574952683946,1.57060612379889e-06
"9",2019-10-01 08:00:00,284.058952751625,35.1583545549062,0.0696857447713825,0.0621483495643912,1.57060612379889e-06
"10",2019-10-01 09:00:00,283.601555107054,35.1587659161796,0.0854626796126911,-0.0563285641153435,1.57060612379889e-06
"11",2019-10-01 10:00:00,283.145021335137,35.1601772774531,0.0944560463789094,-0.1253636353201,1.57060612379889e-06
"12",2019-10-01 11:00:00,283.085489502777,35.162,0.0959977663959753,-0.157597989776384,1.57060612379889e-06
"13",2019-10-01 12:00:00,283.279973326678,35.1648227225469,0.0900878396638891,-0.154793070186111,1.57060612379889e-06
"14",2019-10-01 13:00:00,283.063857774386,35.1676454450938,0.0769832195188282,-0.135904774984408,1.57060612379889e-06
"15",2019-10-01 14:00:00,282.484438654881,35.1668795289142,0.0577631099727389,-0.124426594006958,1.57060612379889e-06
"16",2019-10-01 15:00:00,282.099012677025,35.1644681676408,0.0335581057048029,0.14036296336198,1.57060612379889e-06
"17",2019-10-01 16:00:00,281.994279113043,35.1636454450938,0.00606409873379288,0.164906903027523,1.57060612379889e-06
"18",2019-10-01 17:00:00,282.014669899263,35.1646454450938,0,0.165237551650958,1.57060612379889e-06
"19",2019-10-01 18:00:00,282.154212469089,35.1656454450938,0,0.139628456948818,1.57060612379889e-06
"20",2019-10-01 19:00:00,282.500565984318,35.1674681676408,0,0.0872717287554063,1.57060612379889e-06
"21",2019-10-01 20:00:00,282.930201591825,35.1700568063673,0,-0.0480655205771455,1.57060612379889e-06
"22",2019-10-01 21:00:00,282.961790230552,35.1710568063673,0,-0.121742498090095,1.57060612379889e-06
"23",2019-10-01 22:00:00,282.623270175337,35.1700568063673,0,-0.219797009627415,1.57060612379889e-06
"24",2019-10-01 23:00:00,282.386154623044,35.1690568063673,0,-0.292197817130117,1.57060612379889e-06
"25",2019-10-02,282.377338758849,35.1729363352815,0,-0.320530446181752,1.57060612379889e-06
"26",2019-10-02 01:00:00,282.418233944023,35.1757590578284,0,-0.325937398095055,1.57060612379889e-06
"27",2019-10-02 02:00:00,282.265020435256,35.1761704191019,0,-0.34391236918122,1.57060612379889e-06
"28",2019-10-02 03:00:00,281.987434775765,35.1749363352815,0,0.369135601563538,1.57060612379889e-06
"29",2019-10-02 04:00:00,281.833353515229,35.1747022514611,0,0.390963682759235,1.57060612379889e-06
"30",2019-10-02 05:00:00,281.852091998004,35.1762908901877,0,0.399775960057613,1.57060612379889e-06
"31",2019-10-02 06:00:00,281.884155662722,35.1754681676408,0.0223549402474568,0.386400894570364,1.57060612379889e-06
"32",2019-10-02 07:00:00,281.853976445711,35.1740568063673,0.0495406032150537,0.334488910083363,1.57060612379889e-06
"33",2019-10-02 08:00:00,281.868324142266,35.1734681676408,0.0722038874659237,0.245300392662618,1.57060612379889e-06
"34",2019-10-02 09:00:00,281.906587599049,35.1738795289142,0.0888030729830008,0.143244463759008,1.57060612379889e-06
"35",2019-10-02 10:00:00,281.904580740698,35.1738795289142,0.0983103464215743,0.079892917827551,1.57060612379889e-06
"36",2019-10-02 11:00:00,281.828976445711,35.1728795289142,0.100006238440347,-0.113629211335599,1.57060612379889e-06
"37",2019-10-02 12:00:00,281.753372150724,35.1720568063673,0.0936851863703764,-0.16163231193931,1.57060612379889e-06
"38",2019-10-02 13:00:00,281.72149262181,35.1720568063673,0.0799638782184891,-0.197296477605749,1.59472698898785e-06
"39",2019-10-02 14:00:00,281.691428957092,35.1730568063673,0.0596131739932181,0.240683904664089,1.6188478541768e-06
"40",2019-10-02 15:00:00,281.619506338512,35.1726454450938,0.0340720123771583,0.297663217071563,1.64296871936576e-06
"41",2019-10-02 16:00:00,281.551804087051,35.1726454450938,0.00513906672355328,0.3490350746078,1.66708958455471e-06
"42",2019-10-02 17:00:00,281.532499480161,35.1726454450938,0,0.364064356354396,1.69121044974367e-06
"43",2019-10-02 18:00:00,281.550663040912,35.1716454450938,0,0.349771256550708,1.71533131493263e-06
"44",2019-10-02 19:00:00,281.63050827807,35.1708227225469,0,0.302428923085943,1.73945218012158e-06
"45",2019-10-02 20:00:00,281.789248700403,35.17,0,0.220172892412678,1.76357304531054e-06
"46",2019-10-02 21:00:00,281.902314304679,35.1697659161796,0,0.116923510038353,1.78769391049949e-06
"47",2019-10-02 22:00:00,281.797382888191,35.1704113612735,0,-0.054348728783952,1.81181477568845e-06
"48",2019-10-02 23:00:00,281.658287910952,35.1694113612735,0,-0.112631638538245,1.83593564087741e-06
"49",2019-10-03,281.625351575671,35.1698227225469,0,-0.153558113567637,1.86005650606636e-06
"50",2019-10-03 01:00:00,281.684112573057,35.1708227225469,0,-0.160951200551676,1.88417737125532e-06
